Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.794208875,-0.09644912783,0.1055884355,-2.511625291,2.515693334
0.804221875,1.093318742,0.786831159,-0.2971870744,1.37940904
0.814234875,0.6796622211,-0.06429656804,1.80675046,1.931430043
0.824248875,-0.3424721517,-1.092853376,2.33864711,2.604013437
0.834261875,-0.4750368628,-2.011245718,2.404305494,3.170402856
0.844275875,-0.05633631483,-2.952921672,1.899731714,3.511680619
0.854288875,0.3241373299,-2.91390788,0.7762833667,3.032909496
0.864301875,0.4046552436,-1.587745045,0.2451749218,1.656741058
0.874315875,-0.2963493146,0.4140046491,0.6138447922,0.7975137583
0.8843288751,-0.9922662105,2.783410306,2.143914363,3.650799085
0.8943418751,-1.568836319,4.898401125,3.253795416,6.086276825
0.9043558751,-1.311440131,5.465484856,3.465247107,6.602979437
0.9143688751,0.04350094557,3.183976738,4.00323714,5.115223142
0.9243818751,0.3213490851,1.425820733,2.79028897,3.149911512
0.9343958751,1.057152689,0.4644006313,3.213356073,3.414512704
0.9444088751,1.293315809,-0.261254107,3.39517232,3.642542323
0.9544228751,1.76897964,0.2202737499,3.04179058,3.525662976
0.9644358751,3.750799099,0.8082183735,2.801897448,4.75103569
0.9744488751,4.974871303,0.7163794463,2.259744782,5.510806699
0.9844628751,4.226386477,-0.3235312295,1.596753557,4.529529449
0.994475875,4.67852155,-2.022755523,0.6478036666,5.138069034
1.004488875,2.75275277,-4.576199077,-0.4175140017,5.356637354
1.014502875,0.3385233808,-5.951965597,0.7161318898,6.004443141
1.024515875,-0.02669670559,-5.32575102,2.359509391,5.825085511
1.034529875,-1.264391242,-4.784623956,4.190569065,6.484765277
1.044542875,-1.367496511,-5.620520271,2.913937701,6.476984464
1.054555875,-0.8242547279,-6.276987172,1.513034878,6.509165719
1.064569875,-1.135182101,-5.311560997,3.937324986,6.708490641
1.074582875,-1.242130453,-4.374756651,4.675040118,6.522068991
1.084595875,-1.018828649,-3.144418277,4.514798343,5.595425113
1.094609875,-0.5593897825,-1.985870118,5.889602119,6.240513614
1.104622875,0.03105288126,-0.7237205525,6.104632305,6.147460557
1.114635875,0.9113310979,0.4597355765,5.723632995,5.813936346
1.124649875,1.585808739,0.6803597939,4.307314573,4.640111813
1.134662875,2.013900354,-0.2105240294,1.664425723,2.621150127
1.144676875,2.096746483,-1.751276756,-0.7082451653,2.822220279
1.154689875,2.56638505,-3.460576351,-2.728017878,5.099411971
1.164702875,3.457134972,-4.405341974,-3.877257124,6.811163111
1.174716875,3.176708064,-4.222121518,-4.15493204,6.721699524
1.184729875,1.923957606,-3.570613348,-4.097218267,5.765248484
1.194742875,-2.63800701,-2.466999633,-3.046585296,4.725129643
1.204756875,-3.031585434,-0.9613243532,-4.467998983,5.48431123
1.214769875,-4.664931452,0.8950993735,-6.168481561,7.785432108
1.224782875,-5.8615846,4.018495449,-6.307296215,9.502024271
1.234796875,-6.817019053,7.5553651,-8.010429336,12.95076325
1.244809875,-7.379448693,11.54582666,-9.544197271,16.69892445
1.254823875,-8.25578903,15.68286037,-10.79766957,20.75330889
1.264836875,-9.60892127,20.56280271,-10.12789674,24.85426555
1.274849875,-9.68625479,26.31449825,-9.229500124,29.52050173
1.284863875,-7.563657621,31.95791037,-11.22053553,34.70471682
1.294876875,-4.422494781,37.69261858,-14.53319369,40.63872137
1.304889875,-1.265998349,41.70524693,-18.37717899,45.5922261
1.314903875,1.125955049,42.82668208,-21.37652697,47.8784751
1.324916875,1.05723477,41.26970421,-22.02724957,46.79215697
1.334929875,-1.586092914,38.1946535,-20.77283002,43.50698465
1.344943875,-6.591589009,33.72998158,-18.37100199,38.96991682
1.354956875,-13.53188374,28.73189858,-15.22951872,35.22175627
1.364970875,-21.09812934,23.76688744,-12.83619489,34.27482895
1.374983875,-27.19420249,18.17007412,-11.192373,34.5679831
1.384996875,-31.52644199,13.44783352,-10.03507336,35.71363141
1.395010875,-34.38820966,9.285613514,-8.623730922,36.6488788
1.405023875,-35.23269729,3.974186418,-6.950946019,36.1310499
1.415036875,-33.72018165,-2.101961761,-7.135323347,34.53088086
1.425050875,-29.75499058,-8.330456804,-8.023905998,31.92395719
1.435063875,-24.72165122,-15.36788607,-8.997651007,30.46784674
1.445076875,-20.15776608,-21.98556594,-9.367977979,31.26435118
1.455090875,-17.53582781,-27.33117001,-7.981955734,33.43964306
1.465103875,-15.78062231,-31.37914595,-5.796322657,35.59882298
1.475116875,-13.09294496,-33.02596278,-3.813217249,35.73065982
1.485130875,-9.969024385,-33.21312982,-1.851238416,34.7263664
1.495143875,-6.507170418,-32.13173874,-1.786124407,32.83263836
1.505157875,-3.816151382,-29.99753777,-2.38695856,30.33336207
1.515170875,-2.061350217,-27.54056816,-3.701603258,27.86456398
1.525183875,-1.682741541,-37.98218907,-1.219585928,38.03900229
1.535197875,0.7912811825,-26.6418745,0.7273573744,26.66354537
1.545210875,4.652844672,-12.63586577,-12.15086964,18.13719108
1.555223875,8.259885004,-14.978251,-17.29845892,24.32715323
1.565237875,8.915461375,-13.49764245,-14.89478551,21.9892346
1.575250875,10.33686103,-14.59697512,-10.04667892,20.51482722
1.585263875,11.29484662,-15.4110736,-4.638745866,19.66196107
1.595277875,9.592432122,-14.06067669,-1.415089338,17.07980857
1.605290875,6.699312848,-13.08368998,-1.051854454,14.73669346
1.615304875,2.576988098,-13.41918334,-1.667920604,13.76580213
1.625317875,-1.381671916,-13.19334165,-1.050759271,13.30704235
1.635330875,-3.36980973,-12.29149634,-0.4979079545,12.75477998
1.645344875,-3.000967659,-11.47670438,-0.05051701963,11.86267686
1.655357875,-1.655184783,-10.62292436,0.971224274,10.79488005
1.665370875,-0.1221921891,-10.2077931,2.398378757,10.4864766
1.675384875,0.7957288671,-10.42515398,3.478551276,11.01895363
1.685397875,-0.04015458405,-10.61942071,4.452772833,11.51524617
1.695411875,-2.160463738,-11.18663103,4.892162438,12.39925686
1.705424875,-4.252696316,-12.39114342,5.252168489,14.11421748
1.715437875,-6.660267481,-13.96212304,7.217515318,17.07022466
1.725451875,-9.06118159,-14.98999455,10.26244702,20.30080706
1.735464833,-11.00375819,-15.73572739,13.53924889,23.49483074
1.745477833,-12.70057106,-15.82152709,15.50458695,25.53463219
1.755491833,-14.32359557,-15.14364184,15.69156337,26.09061975
1.765504833,-16.02056982,-13.6793973,14.73892213,25.71031686
1.775517833,-17.68686724,-11.88785252,12.80475441,24.86177881
1.785531833,-19.48431887,-9.953188956,11.14815401,24.55577305
1.795544833,-21.2502622,-7.433217934,9.626008589,24.48441165
1.805557833,-22.05438766,-4.893623657,7.908089613,23.93494201
1.815571833,-21.80092958,-1.782358215,5.3547,22.51955025
1.825584833,-21.54821759,0.5761542249,1.90296464,21.63975299
1.835598833,-21.00725425,1.479792872,-2.916512815,21.26030492
1.845611833,-19.65716724,1.878168352,-7.345457075,21.06863735
1.855624833,-15.98842651,2.68809192,-10.32112266,19.21929222
1.865638833,-12.68503851,2.703760704,-11.7131155,17.47620092
1.875651833,-11.02176996,1.611209629,-13.31882757,17.3627929
1.885664833,-8.80435843,0.5808379908,-14.38233553,16.87322362
1.895678833,-7.919437305,0.4677724282,-13.46075704,15.6246049
1.905691833,-9.088403302,0.9036215441,-11.78871883,14.9127294
1.915704833,-10.58009467,1.408704178,-12.16013397,16.17997864
1.925718833,-11.77924166,1.991680788,-14.83460597,19.0468596
1.935731833,-11.73928413,3.243018413,-17.91395321,21.66189465
1.945745833,-10.2662828,4.545803204,-20.42370681,23.30640875
1.985798833,2.005265771,5.418882548,-21.57983466,22.33997858
1.995811833,3.286617592,4.688796862,-18.99107699,19.83551554
2.005825833,2.833205194,4.086945002,-16.89957941,17.61607094
2.015838833,1.115088583,3.600480633,-16.16284895,16.59652281
2.025851833,-0.7393505985,3.15851533,-16.55741789,16.87219445
2.035865833,-1.716287017,3.037828506,-17.28571199,17.63433815
2.045878833,-1.395095369,3.285127721,-17.78970456,18.14419862
2.055892833,-0.001976943612,3.662878318,-17.85985594,18.23159718
2.065905833,1.507238533,3.686089425,-17.63316992,18.07727038
2.075918833,2.823915138,3.272725485,-17.29515875,17.82716312
2.085932833,3.934801912,2.578217475,-16.64711886,17.29902996
2.095945833,4.509662733,1.838753149,-15.70889568,16.44650342
2.105958833,4.475458276,1.39132026,-14.91140213,15.63059219
2.115972833,3.60917632,1.167919492,-14.6206657,15.10476929
2.125985833,2.507999432,1.002978894,-14.79221833,15.03681319
2.135998833,1.355256534,0.7955215833,-15.08745711,15.16907832
2.146012833,-0.2010243505,0.649774763,-14.93117858,14.94666223
2.156025833,-1.897724365,0.7995623747,-14.8603419,15.00234712
2.166039833,-3.572424523,1.165807551,-14.99405954,15.45778592
2.176052833,-5.094984807,1.758884568,-15.57610191,16.4823389
2.186065833,-6.310415704,2.509625835,-16.53460089,17.87491523
2.196079833,-6.432843536,2.553890427,-17.55150302,18.86687814
2.206092833,-5.628057332,2.573050583,-17.11369158,18.19818832
2.216105833,-5.094033465,2.414981048,-15.70502132,16.68619205
2.226119833,-4.49324112,1.467156162,-14.59945434,15.34554756
2.236132833,-4.3408007,0.4159750877,-12.72422421,13.45070511
2.246145833,-5.27979249,-0.374558309,-9.469396765,10.84831682
2.256159833,-6.744757993,-0.9728138396,-4.940472134,8.417029883
2.266172833,-8.446929832,-1.4441921,0.4175391448,8.579665106
2.276186833,-11.29663938,-1.618946664,6.891235422,13.33132308
2.286199833,-14.98063199,-2.12414215,12.95087399,19.91623588
2.296212833,-18.10699904,-2.170143072,17.3466353,25.16900259
2.386333833,2.188421615,1.966871637,18.83037563,19.05887771
2.396346833,4.661315826,1.84628714,16.88305401,17.61176181
2.406359833,5.229509359,0.9708843315,14.24691635,15.20739985
2.416373833,4.425304368,0.2397730995,11.51062759,12.33431625
2.426386833,3.414069352,-0.4080177946,8.359154938,9.038684602
2.436399833,2.46321093,-0.9567758042,5.031760619,5.68343584
2.446413833,5.877069781,-1.4200507,2.457548486,6.526564009
2.456426833,11.26950713,-4.348673683,6.459310958,13.69800904
2.466439833,4.60548398,-4.573735937,-1.557739765,6.675035302
2.476453833,2.440788173,-1.750280244,-1.669526834,3.436313095
2.486466833,5.327461916,-2.283033803,-0.972484349,5.877058756
2.496480833,7.517378079,-3.194241817,-0.5011221689,8.183231476
2.506493833,6.181612068,-3.270521377,-1.126764303,7.083659763
2.516506833,9.057498429,-3.003944184,16.21414423,18.81383618
2.526520833,5.016578908,-4.491959118,6.57240254,9.409582127
2.536533833,-0.2562584652,-5.354157379,2.467617391,5.901000358
2.546546833,-2.017851025,-2.978091305,4.287507715,5.596737709
2.556560833,-2.299525729,-1.310215578,1.450537498,3.018036195
2.566573833,-2.988593781,-1.317182243,-0.4892716169,3.302430706
2.576586833,-3.950774167,-1.275989048,-0.5340519333,4.185925947
2.586600833,-3.9470606,-0.5641751803,0.3781715959,4.005071132
2.596613833,-4.343695072,-0.06651207805,1.365646452,4.553800716
2.606627833,-6.767571489,-0.7857567331,3.392782563,7.611071608
2.616640833,-4.767187851,-1.960101584,3.108656414,6.019287577
2.626653833,-4.58633698,-3.1264109,0.2152611512,5.554751963
2.636667833,-2.67018453,-2.744107954,1.487866123,4.107768188
2.646680833,3.280042106,-3.029839163,5.691328298,7.233935262
2.656693833,6.464350673,-4.696851402,6.555595304,10.33557316
2.666707833,7.079652007,-5.108435742,0.03993648291,8.730359855
2.676720833,6.373367997,-3.36452297,-5.111744682,8.835709826
2.686733833,4.691788298,-1.033679554,-2.332171319,5.340448849
2.696747833,3.201294144,-0.2343751144,0.363826037,3.230415651
2.706760833,1.752496485,-0.6931225115,-0.5252308238,1.956407464
2.716774833,1.761810223,-1.118040258,-1.860559462,2.795652123
2.726787958,2.227096999,-1.108309906,-1.974142211,3.175775395
2.736800958,2.533154739,-0.8295275277,-0.8120817751,2.786479079
2.746814958,2.220181644,-0.7655151343,0.6990615284,2.45028712
2.756827958,1.080948445,-2.031939599,3.651728262,4.316520286
2.766840958,0.971033801,-2.418662163,4.332241838,5.055803857
2.776854958,0.03985169828,-1.823637804,4.776810322,5.113233796
2.786867958,-1.831358906,-1.537314856,4.622906928,5.204659535
2.796880958,-2.946892024,-1.548898775,2.935343188,4.438411838
2.806894958,-2.666751922,-1.558909208,1.410051377,3.395586638
2.816907958,-1.47216781,-1.574769781,0.8115040702,2.303414157
2.826921958,-0.3534478871,-1.532306716,0.6625713944,1.706426129
2.836934958,0.9593482136,-1.214490665,0.392277419,1.596627115
2.846947958,2.236159453,-0.4367355537,-0.1706261382,2.284788901
2.856961958,2.003832326,-1.631221724,0.1474252635,2.588042216
2.866974958,1.024552854,-1.708450579,-0.9877853429,2.223562865
2.876987958,-0.008707911093,-0.8858268589,-2.924743356,3.055959546
2.887001958,0.05667678723,-0.7426811725,-2.864907044,2.960148637
2.897014958,-1.057203633,-0.9677481043,-1.750773311,2.262614218
2.907027958,-2.367105655,-0.6483427799,-1.580410297,2.919115319
2.917041958,-2.383784983,0.2256428826,-0.7361252743,2.505040115
2.927054958,-2.065822898,0.8510791951,1.249755222,2.560048468
2.937068958,-1.015769167,0.2632743931,2.114703721,2.360735528
2.947081958,-0.1424540339,-0.8613854975,1.984293562,2.167878933
2.957094958,-0.3710067102,-1.379821857,1.588108741,2.136268642
2.967108958,-1.119959752,-1.335385941,0.5458928373,1.826352772
2.977121958,-1.620167271,-1.260372596,-0.6030023003,2.139414135
2.987134958,-1.750428325,-0.3534811431,-0.8860771197,1.993509694
2.997148958,-1.690973105,0.7478664833,-0.8521202919,2.035879002
3.007161958,-1.694318882,1.492739192,-0.8091891575,2.398702537
3.017174958,-2.052375033,2.392032773,-0.916030359,3.282251618
3.027188958,-1.690006561,2.376673892,-1.214182224,3.158945938
3.037201958,-1.201833197,1.580760253,-1.617238985,2.560989642
3.047215958,-0.9525872974,0.895719763,-1.828133143,2.247622576
3.057228958,-0.5633656333,0.4121883577,-1.687670452,1.826338313
3.067241958,-0.3703660016,-0.03153403401,-1.291989076,1.3443962
3.077255958,-0.2901328473,-0.4485890293,-0.8600432691,1.012464128
3.087268958,-0.169854598,-0.6188804144,-0.5389349431,0.8380420184
3.097281958,-0.3251706791,-0.6711726487,-0.05182387233,0.7475924081
3.107295958,-0.4141401583,-0.7257710248,0.4293850189,0.9394823818
3.117308958,-0.5132810153,-0.7499422449,0.603983463,1.091176794
3.127321958,-0.6235539477,-0.7910388154,0.5544861978,1.149789927
3.137335958,-0.6214597674,-0.7112769467,0.3940090719,1.023411103
3.147348958,-0.3994602849,-0.5357452869,0.169797003,0.6895089223
3.157362958,-0.230752472,-0.4613143247,-0.008650663197,0.5158802608
3.167375958,0.01252005816,-0.4979015225,-0.1462680995,0.519092511
3.177388958,0.09014783934,-0.4780671823,-0.1503266519,0.5091885368
3.187402958,0.1240371318,-0.5127546197,-0.01625789076,0.5277943057
3.197415958,0.04542365626,-0.4207884425,0.3215535915,0.5315288648
3.207428958,-0.006602529734,-0.2011208296,0.4431452715,0.4866938598
3.217442958,-0.04220929563,-0.3374691278,0.4447591031,0.5598907899
3.227455958,-0.1564141881,-0.2306323117,0.3076983216,0.4151324109
3.237468958,0.01575941563,-0.1303379452,0.120941762,0.1785027982
3.247482958,0.2318688516,-0.08748019338,-0.09385775149,0.2650004266
3.257495958,0.1850971198,0.1875237143,-0.180029338,0.3191185512
3.267509958,0.1913701589,0.3250116348,-0.4681728163,0.6011995396
3.277522958,0.02408511981,0.5924720496,-0.6547498664,0.8833462572
3.287535958,-0.2041299529,0.4234319687,-0.5239719182,0.703924883
3.297549958,0.01733450934,0.02041730762,-0.4130148616,0.4138823838
3.307562958,-0.05300033212,0.3405418396,-0.1337658754,0.3696905316
3.317575958,0.4074119134,0.1652218491,-1.06292031,1.150253151
3.327589958,0.7373897347,-0.3688411939,-1.284680349,1.52649633
3.337602958,0.2559449083,-0.4086431909,-0.7232868353,0.8692760779
3.347615958,-0.1415474962,-0.1266805118,-0.2620222118,0.3236344933
3.357629958,-0.0913573359,0.07192952335,0.5917832476,0.6030981937
3.367642958,-0.03798512086,0.1872500646,0.9834011006,1.001789988
3.377656958,0.05693521589,0.4924454856,1.44317176,1.525938696
3.387669958,0.1573153903,0.4216509068,1.309179013,1.384372532
3.397682958,-0.1272428678,0.323167423,0.691523298,0.7738426212
3.407696958,0.08166849956,0.3577712452,-0.1405293497,0.3929612015
